Hotel Name,Price Per Night,Location,Rating,Facilities_Free Wi-Fi,Facilities_Parking,Facilities_Pet-Friendly,Facilities_Pool,Facilities_Restaurant,Facilities_Spa,Preferences_Count
"Salazar, Bray and Graham",0.7991071428571428,New April,0.1999999999999999,False,True,False,True,True,True,4
Preston Group,0.0647321428571428,New April,0.7999999999999998,True,True,True,True,True,True,6
"Garcia, Montgomery and Parrish",0.1897321428571428,New April,0.7000000000000002,True,True,True,True,True,True,6
"Butler, Banks and Palmer",0.8995535714285713,New April,0.5,True,True,True,True,True,True,6
Zamora and Sons,0.3928571428571428,New April,0.6000000000000001,True,True,True,False,True,True,5
"Cooper, Rivera and Nelson",0.8325892857142857,New April,0.3,True,True,True,True,True,False,5
Baker-Gonzalez,0.3035714285714285,South Michaelstad,0.1999999999999999,True,True,True,False,True,True,5
"Thompson, Mason and Martin",0.1428571428571428,South Michaelstad,0.75,True,True,False,True,True,True,5
"Taylor, Keith and Wall",0.140625,South Michaelstad,0.8500000000000001,True,True,True,True,True,True,6
"Adams, Tucker and Love",0.9732142857142856,South Michaelstad,0.8999999999999999,True,True,True,True,False,True,5
"Hampton, Mason and Hatfield",0.6272321428571428,South Michaelstad,0.1499999999999999,True,True,True,True,False,True,5
"Hahn, Proctor and Pierce",0.1071428571428571,South Michaelstad,0.25,True,False,True,False,True,True,4
Andrews-Cervantes,0.7455357142857143,Jimenezhaven,0.4499999999999999,True,True,False,True,True,True,5
Castro-Taylor,0.8638392857142857,Jimenezhaven,0.5,True,True,True,False,True,True,5
Crane-Lozano,0.65625,Jimenezhaven,0.75,True,True,True,True,True,False,5
Lopez-Mcdaniel,0.4330357142857143,Jimenezhaven,0.5,True,True,True,True,True,True,6
Velez Ltd,0.4263392857142857,Jimenezhaven,0.6499999999999999,True,False,True,True,True,False,4
Alvarado Inc,0.9598214285714284,Jimenezhaven,0.7999999999999998,False,True,False,True,True,True,4
Logan LLC,0.9709821428571428,Shelbyfurt,0.4499999999999999,True,True,False,True,True,True,5
Cervantes-Jones,0.2857142857142857,Shelbyfurt,0.5,False,True,True,True,True,True,5
"Tucker, Miller and Zhang",0.234375,Shelbyfurt,0.75,True,True,True,True,True,True,6
"Hoover, Martinez and Douglas",0.5267857142857143,Shelbyfurt,0.1,True,True,False,True,True,True,5
Quinn-Munoz,0.4263392857142857,Shelbyfurt,0.05,True,True,True,True,False,True,5
"Pollard, Frank and Robertson",0.5558035714285714,Shelbyfurt,0.75,False,True,True,True,True,True,5
Gutierrez Group,0.9375,New Juliahaven,0.5,True,True,True,False,True,True,5
"Smith, Davis and Thornton",0.7566964285714285,New Juliahaven,0.5499999999999998,True,True,True,True,True,True,6
Craig and Sons,0.8660714285714285,New Juliahaven,0.4499999999999999,True,True,True,True,True,True,6
"Martinez, Curtis and Jones",0.9620535714285712,New Juliahaven,0.3500000000000001,True,True,False,True,True,True,5
Anthony and Sons,0.0647321428571428,New Juliahaven,0.3,True,True,True,True,True,True,6
Robertson-Bruce,0.6428571428571428,New Juliahaven,0.9500000000000002,True,True,True,True,True,True,6
Hall Group,0.5111607142857143,North Jennifer,0.1,True,True,True,True,True,True,6
Randall Group,0.3125,North Jennifer,0.75,True,True,True,True,True,True,6
"Nelson, Foster and Nguyen",0.3303571428571428,North Jennifer,0.3999999999999999,True,True,True,True,True,False,5
Henderson Ltd,0.3839285714285714,North Jennifer,0.3500000000000001,False,True,True,True,True,False,4
Atkinson-Martinez,0.3794642857142857,North Jennifer,0.25,True,False,True,True,True,True,5
Brooks LLC,0.171875,North Jennifer,0.5,True,True,False,True,True,True,5
Payne PLC,0.9709821428571428,Stacyshire,0.9500000000000002,True,True,True,True,True,True,6
"Thompson, Nelson and King",0.4486607142857143,Stacyshire,0.7000000000000002,True,True,True,True,True,True,6
"Kaufman, Bennett and Delgado",0.828125,Stacyshire,0.7000000000000002,False,False,False,True,True,True,3
"Koch, Dunn and Mendoza",0.640625,Stacyshire,0.1499999999999999,True,True,True,True,True,True,6
"Pace, Mcconnell and Soto",0.8303571428571428,Stacyshire,0.1499999999999999,True,True,False,True,True,False,4
Schultz-Evans,0.4977678571428571,Stacyshire,0.8500000000000001,True,False,True,True,True,True,5
"Evans, Chavez and Owen",0.0580357142857142,Port Catherineshire,0.3500000000000001,True,True,False,False,True,True,4
"Holt, Cross and Aguilar",0.6049107142857143,Port Catherineshire,0.5,True,True,True,True,True,False,5
Wang Ltd,0.90625,Port Catherineshire,0.7999999999999998,True,True,True,True,True,True,6
Wright LLC,0.9196428571428572,Port Catherineshire,0.8500000000000001,True,True,False,False,True,True,4
Beltran-Melton,0.2209821428571428,Port Catherineshire,0.3999999999999999,True,False,True,True,True,True,5
Marshall-Lee,0.2611607142857143,Port Catherineshire,0.5499999999999998,True,True,False,True,False,True,4
Warner Inc,0.2410714285714285,West Jaclyn,0.9500000000000002,True,True,False,True,True,True,5
Stanley Inc,0.6830357142857143,West Jaclyn,0.9500000000000002,True,True,True,True,True,True,6
Leach PLC,0.4040178571428571,West Jaclyn,0.8500000000000001,True,True,True,True,True,True,6
Smith LLC,0.8035714285714285,West Jaclyn,0.3500000000000001,True,True,True,True,True,True,6
